Date,Day of Week,Time_(h),Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
2020-10-13,Tuesday,23,Visa,CVC,91,Online,Electronics,USA,USA,United Kingdom,M,38.0,Halifax,True
2020-10-14,Wednesday,1,MasterCard,PIN,106,POS,Fashion,Russia,Russia,United Kingdom,F,48.7,Metro,True
2020-10-13,Tuesday,0,MasterCard,CVC,25,Online,Food,Russia,Russia,United Kingdom,M,54.3,Barlcays,True
2020-10-14,Wednesday,3,MasterCard,PIN,5,ATM,Services,China,China,United Kingdom,F,62.8,Barlcays,True
2020-10-14,Wednesday,4,Visa,PIN,206,POS,Children,United Kingdom,India,United Kingdom,M,46.3,Barclays,True
2020-10-13,Tuesday,1,MasterCard,Tap,30,POS,Children,United Kingdom,China,United Kingdom,F,37.2,Barclays,True
2020-10-14,Wednesday,5,Visa,CVC,24,Online,Children,United Kingdom,USA,United Kingdom,M,48.5,Barclays,True
2020-10-13,Tuesday,0,MasterCard,PIN,22,ATM,Electronics,United Kingdom,India,United Kingdom,F,53.8,RBS,True
2020-10-13,Tuesday,7,Visa,PIN,12,ATM,Children,United Kingdom,USA,United Kingdom,F,51.9,Barlcays,True
2020-10-14,Wednesday,2,Visa,Tap,26,POS,Children,United Kingdom,Russia,United Kingdom,M,45.7,Metro,True
2020-10-13,Tuesday,5,Visa,CVC,18,Online,Food,USA,USA,United Kingdom,M,43.1,HSBC,True
2020-10-14,Wednesday,3,MasterCard,CVC,22,Online,Entertainment,Russia,Russia,United Kingdom,M,57.7,Halifax,True
2020-10-13,Tuesday,13,MasterCard,PIN,189,POS,Food,China,China,United Kingdom,F,52.8,Barclays,True
2020-10-13,Tuesday,9,Visa,Tap,7,POS,Children,China,China,United Kingdom,F,46.2,RBS,True
2020-10-13,Tuesday,6,Visa,CVC,26,Online,Products,United Kingdom,Russia,United Kingdom,F,43.3,Monzo,True
2020-10-14,Wednesday,0,MasterCard,Tap,12,POS,Subscription,India,India,United Kingdom,M,34.8,Halifax,True
2020-10-14,Wednesday,10,Visa,Tap,22,POS,Gaming,Russia,Russia,United Kingdom,F,32.9,Barclays,True
2020-10-13,Tuesday,18,MasterCard,CVC,17,Online,Restaurant,India,India,United Kingdom,F,63.1,Monzo,True
2020-10-14,Wednesday,1,MasterCard,CVC,29,Online,Restaurant,United Kingdom,USA,United Kingdom,M,41.9,HSBC,True
2020-10-13,Tuesday,12,Visa,PIN,16,ATM,Children,United Kingdom,India,United Kingdom,F,45.6,Metro,True
2020-10-14,Wednesday,19,Visa,Tap,17,POS,Entertainment,USA,USA,United Kingdom,M,38.4,Barclays,True
2020-10-13,Tuesday,5,Visa,CVC,9,Online,Children,Russia,Russia,United Kingdom,F,52.1,Barlcays,True
2020-10-13,Tuesday,4,MasterCard,Tap,24,POS,Fashion,India,India,United Kingdom,M,73.8,Barclays,True
2020-10-13,Tuesday,19,MasterCard,CVC,21,Online,Fashion,India,India,United Kingdom,M,37.4,Barlcays,True
2020-10-14,Wednesday,11,Visa,CVC,25,Online,Services,India,India,United Kingdom,F,33.1,Monzo,True
2020-10-13,Tuesday,11,MasterCard,CVC,16,Online,Fashion,United Kingdom,USA,United Kingdom,M,63.4,Metro,True
2020-10-13,Tuesday,6,Visa,CVC,19,Online,Children,United Kingdom,USA,United Kingdom,M,41.6,Barclays,True
2020-10-14,Wednesday,21,MasterCard,Tap,9,POS,Children,United Kingdom,China,United Kingdom,M,66.9,Barlcays,True
2020-10-14,Wednesday,6,Visa,CVC,10,Online,Fashion,China,China,United Kingdom,M,27.9,Halifax,True
2020-10-13,Tuesday,19,Visa,Tap,28,POS,Restaurant,Russia,Russia,United Kingdom,M,34.1,Barlcays,True
2020-10-14,Wednesday,5,Visa,PIN,16,ATM,Subscription,India,India,United Kingdom,M,45.0,Halifax,True
2020-10-14,Wednesday,6,Visa,PIN,27,ATM,Services,Russia,Russia,United Kingdom,M,41.9,Monzo,True
2020-10-14,Wednesday,15,MasterCard,PIN,322,POS,Products,USA,USA,United Kingdom,M,62.3,Barlcays,True
2020-10-13,Tuesday,4,Visa,CVC,13,Online,Restaurant,Russia,Russia,United Kingdom,F,69.9,Halifax,True
2020-10-13,Tuesday,3,Visa,PIN,13,ATM,Children,Russia,Russia,United Kingdom,M,45.2,Metro,True
2020-10-13,Tuesday,6,MasterCard,PIN,21,ATM,Food,Russia,Russia,United Kingdom,M,47.2,Monzo,True
2020-10-13,Tuesday,2,Visa,PIN,14,ATM,Services,India,India,United Kingdom,M,57.5,Barlcays,True
2020-10-13,Tuesday,9,MasterCard,PIN,239,POS,Children,China,China,United Kingdom,M,48.7,Halifax,True
2020-10-13,Tuesday,5,Visa,CVC,24,Online,Fashion,Russia,Russia,United Kingdom,M,54.8,Barclays,True
2020-10-14,Wednesday,21,MasterCard,CVC,29,Online,Electronics,India,India,United Kingdom,M,55.9,Monzo,True
2020-10-14,Wednesday,14,MasterCard,Tap,8,POS,Products,United Kingdom,USA,United Kingdom,M,44.9,Metro,True
2020-10-13,Tuesday,19,Visa,CVC,29,Online,Products,India,India,United Kingdom,M,35.8,Halifax,True
2020-10-13,Tuesday,16,Visa,Tap,20,POS,Gaming,China,China,United Kingdom,F,57.2,RBS,True
2020-10-14,Wednesday,5,Visa,CVC,24,Online,Services,China,China,United Kingdom,F,40.1,Barlcays,True
2020-10-14,Wednesday,1,MasterCard,CVC,21,Online,Entertainment,India,India,United Kingdom,F,51.5,RBS,True
2020-10-13,Tuesday,0,Visa,Tap,12,POS,Food,USA,USA,United Kingdom,M,39.0,HSBC,True
2020-10-13,Tuesday,22,Visa,CVC,13,Online,Fashion,United Kingdom,China,United Kingdom,M,46.4,Barclays,True
2020-10-14,Wednesday,15,Visa,Tap,11,POS,Children,China,China,United Kingdom,F,48.6,Barclays,True
2020-10-14,Wednesday,6,MasterCard,CVC,20,Online,Entertainment,Russia,Russia,United Kingdom,F,70.5,Metro,True
2020-10-13,Tuesday,3,Visa,CVC,17,Online,Entertainment,India,India,United Kingdom,M,18.6,Halifax,True
2020-10-14,Wednesday,16,Visa,PIN,19,ATM,Restaurant,China,China,United Kingdom,F,34.5,Barclays,True
2020-10-13,Tuesday,21,MasterCard,PIN,27,ATM,Food,United Kingdom,USA,United Kingdom,M,36.9,Barclays,True
2020-10-13,Tuesday,0,MasterCard,CVC,327,Online,Children,India,India,United Kingdom,F,36.8,Barclays,True
2020-10-13,Tuesday,6,MasterCard,CVC,18,Online,Fashion,India,India,United Kingdom,M,43.6,Barclays,True
2020-10-13,Tuesday,20,Visa,CVC,38,Online,Children,India,India,United Kingdom,M,66.8,Monzo,True
2020-10-14,Wednesday,21,Visa,CVC,122,Online,Electronics,Russia,Russia,United Kingdom,M,54.0,Lloyds,True
2020-10-13,Tuesday,15,Visa,CVC,20,Online,Electronics,United Kingdom,China,United Kingdom,F,49.1,Barclays,True
2020-10-14,Wednesday,9,MasterCard,Tap,10,POS,Electronics,USA,USA,United Kingdom,M,41.0,Metro,True
2020-10-14,Wednesday,2,Visa,PIN,241,POS,Entertainment,China,China,United Kingdom,M,48.6,Halifax,True
2020-10-13,Tuesday,3,MasterCard,PIN,27,POS,Fashion,Russia,Russia,United Kingdom,M,67.6,Lloyds,True
2020-10-14,Wednesday,0,MasterCard,Tap,7,POS,Fashion,Russia,Russia,United Kingdom,F,21.9,HSBC,True
2020-10-14,Wednesday,0,Visa,PIN,11,ATM,Restaurant,China,China,United Kingdom,F,33.5,Metro,True
2020-10-13,Tuesday,11,Visa,CVC,16,Online,Gaming,India,India,United Kingdom,M,51.1,Barlcays,True
2020-10-14,Wednesday,21,Visa,CVC,8,Online,Children,United Kingdom,India,United Kingdom,M,46.5,Metro,True
2020-10-13,Tuesday,21,Visa,PIN,28,ATM,Electronics,USA,USA,United Kingdom,F,47.6,Barclays,True
2020-10-14,Wednesday,14,Visa,Tap,23,POS,Food,Russia,Russia,United Kingdom,F,43.0,Metro,True
2020-10-14,Wednesday,22,Visa,CVC,23,Online,Gaming,India,India,United Kingdom,M,50.9,Barclays,True
